20200101,1.450
20200102,2.733
20200103,2.419
20200104,0.826
20200105,2.211
20200106,1.419
20200107,2.432
20200108,2.471
20200109,1.079
20200110,1.374
20200111,0.772
20200112,2.995
20200113,1.160
20200114,2.184
20200115,3.117
20200116,1.519
20200117,0.103
20200118,0.499
20200119,2.411
20200120,1.305
20200121,5.492
20200122,3.564
20200123,5.115
20200124,7.573
20200125,7.128
20200126,3.324
20200127,5.907
20200128,2.369
20200129,4.407
20200130,4.790
20200131,5.074
20200201,6.766
20200202,4.796
20200203,4.232
20200204,0.891
20200205,15.826
20200206,1.809
20200207,17.224
20200208,21.119
20200209,20.339
20200210,4.383
20200211,4,987
20200212,11.854
20200213,19.716
20200214,2.661
20200215,18.240
20200216,11.059
20200217,9,548
20200218,12,123
20200219,15.658
20200220,7.943
20200221,5.914
20200222,11.559
20200223,4.539
20200224,5.273
20200225,3.945
20200226,3.826
20200227,5.617
20200228,5.278
20200229,4.997
20200301,8.66
20200302,2.327
20200303,2.743
20200304,5.094
20200305,7.916
20200306,3.25
20200307,2.101
20200308,5.244
20200309,8.184
20200310,8.598
20200311,9.753
20200312,7.305
20200313,7.045
20200314,8.888
20200315,5.957
20200316,5.537
20200317,5.465
20200318,19.124
20200319,11.432
20200320,10.643
20200321,4.234
20200322,11.674
20200323,19.821
20200324,20.863
20200325,20.719
20200326,16.826
20200327,19.686
20200328,19.544
20200329,10.944
20200330,11.73
20200331,0.693
20200401,16.921
20200402,19.256
20200403,9.394
